Gateway_6;32;33.02%;2.30%;180MiB / 7.645GiB;2.44kB / 826B;0B / 12.3kB;6;59
Gateway_5;32;15.87%;2.54%;199.2MiB / 7.645GiB;3.37kB / 826B;0B / 12.3kB;6;59
Gateway_4;32;16.27%;2.52%;197MiB / 7.645GiB;4.2kB / 826B;0B / 12.3kB;6;59
Gateway_3;32;16.02%;2.24%;175MiB / 7.645GiB;5.09kB / 826B;0B / 12.3kB;6;59
Gateway_2;32;17.30%;2.44%;191.1MiB / 7.645GiB;6.18kB / 826B;0B / 12.3kB;6;59
Gateway_1;32;20.03%;2.27%;177.6MiB / 7.645GiB;6.85kB / 826B;0B / 12.3kB;6;59
Rpc;7;0.01%;0.09%;7.02MiB / 7.645GiB;40.8kB / 29.6kB;0B / 57.3kB;6;59
Node_3;17;0.88%;0.18%;14.46MiB / 7.645GiB;164kB / 142kB;0B / 209kB;6;59
Node_2;17;0.89%;0.20%;15.51MiB / 7.645GiB;117kB / 102kB;0B / 209kB;6;59
Node_1;17;0.81%;0.20%;15.6MiB / 7.645GiB;175kB / 161kB;0B / 209kB;6;59
Devnet_Goshimmer;18;205.88%;0.90%;70.11MiB / 7.645GiB;38.1kB / 72kB;0B / 77.8kB;6;59
Nodes_Router_1;2;0.00%;0.01%;836KiB / 7.645GiB;138kB / 126kB;0B / 0B;6;59
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.645GiB;20.7kB / 0B;0B / 0B;6;59
Gateway_6;32;15.54%;2.38%;186.1MiB / 7.645GiB;2.62kB / 826B;0B / 12.3kB;13;40
Gateway_5;32;19.85%;2.55%;199.3MiB / 7.645GiB;3.55kB / 826B;0B / 12.3kB;13;40
Gateway_4;32;19.26%;2.52%;197.2MiB / 7.645GiB;4.38kB / 826B;0B / 12.3kB;13;40
Gateway_3;32;16.25%;2.27%;177.5MiB / 7.645GiB;5.2kB / 826B;0B / 12.3kB;13;40
Gateway_2;32;15.83%;2.46%;192.5MiB / 7.645GiB;6.18kB / 826B;0B / 12.3kB;13;40
Gateway_1;32;15.15%;2.27%;178MiB / 7.645GiB;6.85kB / 826B;0B / 12.3kB;13;40
Rpc;7;0.01%;0.09%;7.02MiB / 7.645GiB;40.8kB / 29.6kB;0B / 57.3kB;13;40
Node_3;17;0.85%;0.19%;14.86MiB / 7.645GiB;167kB / 143kB;0B / 209kB;13;40
Node_2;17;0.73%;0.19%;15.1MiB / 7.645GiB;120kB / 103kB;0B / 209kB;13;40
Node_1;17;0.86%;0.19%;15.04MiB / 7.645GiB;178kB / 162kB;0B / 209kB;13;40
Devnet_Goshimmer;18;207.10%;0.89%;69.71MiB / 7.645GiB;41kB / 79.6kB;0B / 77.8kB;13;40
Nodes_Router_1;2;0.00%;0.01%;836KiB / 7.645GiB;148kB / 136kB;0B / 0B;13;40
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.645GiB;20.7kB / 0B;0B / 0B;13;40
Gateway_6;32;15.61%;2.42%;189.4MiB / 7.645GiB;2.72kB / 826B;0B / 12.3kB;21;41
Gateway_5;32;15.85%;2.56%;200.6MiB / 7.645GiB;3.55kB / 826B;0B / 12.3kB;21;41
Gateway_4;32;16.34%;2.53%;198.1MiB / 7.645GiB;4.45kB / 826B;0B / 12.3kB;21;41
Gateway_3;34;19.95%;2.30%;179.7MiB / 7.645GiB;5.27kB / 826B;0B / 12.3kB;21;41
Gateway_2;34;18.38%;2.52%;196.9MiB / 7.645GiB;6.35kB / 826B;0B / 12.3kB;21;41
Gateway_1;34;50.15%;2.32%;181.4MiB / 7.645GiB;7.03kB / 826B;0B / 12.3kB;21;41
Rpc;7;0.01%;0.09%;7.02MiB / 7.645GiB;40.9kB / 29.7kB;0B / 57.3kB;21;41
Node_3;17;0.86%;0.19%;14.75MiB / 7.645GiB;171kB / 146kB;0B / 209kB;21;41
Node_2;17;0.83%;0.20%;15.39MiB / 7.645GiB;123kB / 105kB;0B / 209kB;21;41
Node_1;17;0.83%;0.20%;15.29MiB / 7.645GiB;182kB / 165kB;0B / 209kB;21;41
Devnet_Goshimmer;18;207.66%;0.89%;69.93MiB / 7.645GiB;44.3kB / 88kB;0B / 77.8kB;21;41
Nodes_Router_1;2;0.00%;0.01%;836KiB / 7.645GiB;160kB / 148kB;0B / 0B;21;41
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.645GiB;20.8kB / 0B;0B / 0B;21;41
Gateway_6;34;22.42%;2.44%;191.1MiB / 7.645GiB;2.99kB / 826B;0B / 12.3kB;30;50
Gateway_5;34;20.43%;2.58%;201.7MiB / 7.645GiB;3.92kB / 826B;0B / 12.3kB;30;50
Gateway_4;34;21.23%;2.57%;201.5MiB / 7.645GiB;4.75kB / 826B;0B / 12.3kB;30;50
Gateway_3;34;64.77%;2.33%;182.8MiB / 7.645GiB;5.57kB / 826B;0B / 12.3kB;30;50
Gateway_2;34;25.63%;2.59%;202.9MiB / 7.645GiB;6.55kB / 826B;0B / 12.3kB;30;50
Gateway_1;34;32.35%;2.34%;182.8MiB / 7.645GiB;7.22kB / 826B;0B / 12.3kB;30;50
Rpc;7;0.01%;0.09%;7.023MiB / 7.645GiB;40.9kB / 29.7kB;0B / 57.3kB;30;50
Node_3;17;0.81%;0.19%;14.91MiB / 7.645GiB;175kB / 147kB;0B / 209kB;30;50
Node_2;17;1.87%;0.19%;14.81MiB / 7.645GiB;127kB / 107kB;0B / 209kB;30;50
Node_1;17;1.14%;0.19%;14.71MiB / 7.645GiB;186kB / 166kB;0B / 209kB;30;50
Devnet_Goshimmer;18;199.23%;0.89%;69.64MiB / 7.645GiB;48kB / 97.3kB;0B / 77.8kB;30;50
Nodes_Router_1;2;0.00%;0.01%;836KiB / 7.645GiB;173kB / 161kB;0B / 0B;30;50
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.645GiB;21.3kB / 0B;0B / 0B;30;50
Gateway_6;34;67.88%;2.47%;193.2MiB / 7.645GiB;3.09kB / 826B;0B / 12.3kB;38;55
Gateway_5;34;36.25%;2.60%;203.4MiB / 7.645GiB;3.92kB / 826B;0B / 12.3kB;38;55
Gateway_4;34;56.32%;2.61%;204MiB / 7.645GiB;4.75kB / 826B;0B / 12.3kB;38;55
Gateway_3;34;41.65%;2.34%;183.1MiB / 7.645GiB;5.57kB / 826B;0B / 12.3kB;38;55
Gateway_2;34;27.11%;2.59%;203.1MiB / 7.645GiB;6.55kB / 826B;0B / 12.3kB;38;55
Gateway_1;34;26.14%;2.34%;182.9MiB / 7.645GiB;7.22kB / 826B;0B / 12.3kB;38;55
Rpc;7;0.02%;0.09%;7.02MiB / 7.645GiB;41.1kB / 29.7kB;0B / 57.3kB;38;55
Node_3;17;0.90%;0.19%;15.09MiB / 7.645GiB;178kB / 148kB;0B / 209kB;38;55
Node_2;17;0.86%;0.19%;14.91MiB / 7.645GiB;130kB / 108kB;0B / 209kB;38;55
Node_1;17;0.89%;0.19%;14.82MiB / 7.645GiB;189kB / 168kB;0B / 209kB;38;55
