Client_1;0.00%;0.01%;780KiB / 7.646GiB;2;4.76kB / 666B;0B / 0B;6;7
Gateway_1;35.10%;2.33%;182.6MiB / 7.646GiB;27;5.47kB / 836B;233kB / 16.4kB;6;7
Clients_Router_1;0.00%;0.01%;780KiB / 7.646GiB;2;13.8kB / 1.52kB;0B / 0B;6;7
Gateways_Router_1;0.00%;0.01%;816KiB / 7.646GiB;2;15kB / 1.52kB;32.8kB / 0B;6;7
Server;0.00%;0.01%;884KiB / 7.646GiB;2;8.38kB / 736B;86kB / 0B;6;7
Client_1;0.00%;0.01%;780KiB / 7.646GiB;2;5.12kB / 736B;0B / 0B;14;6
Gateway_1;34.72%;2.34%;183.1MiB / 7.646GiB;27;5.83kB / 836B;233kB / 16.4kB;14;6
Clients_Router_1;0.00%;0.01%;780KiB / 7.646GiB;2;14.6kB / 1.52kB;0B / 0B;14;6
Gateways_Router_1;0.00%;0.01%;816KiB / 7.646GiB;2;15.5kB / 1.52kB;32.8kB / 0B;14;6
Server;0.00%;0.01%;884KiB / 7.646GiB;2;8.71kB / 736B;86kB / 0B;14;6
Client_1;0.00%;0.01%;780KiB / 7.646GiB;2;5.24kB / 736B;0B / 0B;22;8
Gateway_1;30.96%;2.14%;167.2MiB / 7.646GiB;27;5.83kB / 836B;233kB / 16.4kB;22;8
Clients_Router_1;0.00%;0.01%;780KiB / 7.646GiB;2;14.7kB / 1.52kB;0B / 0B;22;8
Gateways_Router_1;0.00%;0.01%;816KiB / 7.646GiB;2;15.7kB / 1.52kB;32.8kB / 0B;22;8
Server;0.00%;0.01%;884KiB / 7.646GiB;2;8.9kB / 806B;86kB / 0B;22;8
Client_1;0.00%;0.01%;780KiB / 7.646GiB;2;5.31kB / 806B;0B / 0B;30;6
Gateway_1;34.31%;1.93%;151.3MiB / 7.646GiB;27;6.03kB / 836B;233kB / 16.4kB;30;6
Clients_Router_1;0.00%;0.01%;780KiB / 7.646GiB;2;15.2kB / 1.52kB;0B / 0B;30;6
Gateways_Router_1;0.00%;0.01%;816KiB / 7.646GiB;2;15.9kB / 1.52kB;32.8kB / 0B;30;6
Server;0.00%;0.01%;884KiB / 7.646GiB;2;8.9kB / 806B;86kB / 0B;30;6
