Gateway_1;32;25.43%;2.12%;165.8MiB / 7.645GiB;2.44kB / 826B;0B / 12.3kB;6;35
Rpc;7;0.01%;0.09%;7.008MiB / 7.645GiB;40.9kB / 29.6kB;20.5kB / 57.3kB;6;35
Node_3;17;0.75%;0.21%;16.75MiB / 7.645GiB;115kB / 99.7kB;0B / 209kB;6;35
Node_2;17;0.79%;0.19%;14.85MiB / 7.645GiB;168kB / 151kB;0B / 209kB;6;35
Node_1;18;0.73%;0.19%;14.97MiB / 7.645GiB;179kB / 165kB;0B / 209kB;6;35
Devnet_Goshimmer;18;211.38%;0.90%;70.7MiB / 7.645GiB;34kB / 62kB;0B / 77.8kB;6;35
Nodes_Router_1;2;0.00%;0.01%;832KiB / 7.645GiB;124kB / 112kB;0B / 0B;6;35
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.645GiB;16.5kB / 0B;0B / 0B;6;35
Gateway_1;32;19.41%;2.10%;164.3MiB / 7.645GiB;2.55kB / 826B;0B / 12.3kB;13;28
Rpc;7;0.01%;0.09%;7.008MiB / 7.645GiB;40.9kB / 29.6kB;20.5kB / 57.3kB;13;28
Node_3;17;0.91%;0.22%;16.96MiB / 7.645GiB;118kB / 101kB;0B / 209kB;13;28
Node_2;17;0.82%;0.19%;15.12MiB / 7.645GiB;171kB / 152kB;0B / 209kB;13;28
Node_1;18;0.78%;0.19%;15.01MiB / 7.645GiB;181kB / 166kB;0B / 209kB;13;28
Devnet_Goshimmer;18;207.18%;0.90%;70.81MiB / 7.645GiB;37.1kB / 69.9kB;0B / 77.8kB;13;28
Nodes_Router_1;2;0.00%;0.01%;832KiB / 7.645GiB;135kB / 123kB;0B / 0B;13;28
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.645GiB;16.5kB / 0B;0B / 0B;13;28
Gateway_1;32;18.80%;2.13%;167MiB / 7.645GiB;2.72kB / 826B;0B / 12.3kB;20;28
Rpc;7;0.01%;0.09%;7.008MiB / 7.645GiB;40.9kB / 29.6kB;20.5kB / 57.3kB;20;28
Node_3;17;0.79%;0.19%;15MiB / 7.645GiB;121kB / 102kB;0B / 209kB;20;28
Node_2;17;0.90%;0.19%;14.82MiB / 7.645GiB;173kB / 153kB;0B / 209kB;20;28
