Gateway_3;32;31.65%;2.21%;173.1MiB / 7.645GiB;2.44kB / 826B;0B / 12.3kB;5;54
Gateway_2;32;15.27%;3.13%;245MiB / 7.645GiB;3.46kB / 826B;0B / 12.3kB;5;54
Gateway_1;32;18.64%;2.73%;213.5MiB / 7.645GiB;4.2kB / 826B;0B / 12.3kB;5;54
Rpc;7;0.02%;0.09%;6.988MiB / 7.645GiB;40.9kB / 29.7kB;0B / 57.3kB;5;54
Node_3;17;0.79%;0.19%;14.62MiB / 7.645GiB;123kB / 100kB;0B / 209kB;5;54
Node_2;17;0.78%;0.19%;14.88MiB / 7.645GiB;164kB / 145kB;0B / 209kB;5;54
Node_1;17;0.84%;0.20%;15.44MiB / 7.645GiB;175kB / 173kB;0B / 209kB;5;54
Devnet_Goshimmer;18;208.88%;0.90%;70.2MiB / 7.645GiB;34.7kB / 61.2kB;0B / 77.8kB;5;54
Nodes_Router_1;2;0.00%;0.01%;848KiB / 7.645GiB;124kB / 111kB;0B / 0B;5;54
Gateways_Router_1;2;0.00%;0.01%;856KiB / 7.645GiB;18.4kB / 0B;0B / 0B;5;54
Gateway_3;32;21.02%;2.06%;161.4MiB / 7.645GiB;2.62kB / 826B;0B / 12.3kB;12;33
Gateway_2;32;14.23%;3.18%;249.2MiB / 7.645GiB;3.53kB / 826B;0B / 12.3kB;12;33
Gateway_1;32;17.05%;2.73%;213.7MiB / 7.645GiB;4.38kB / 826B;0B / 12.3kB;12;33
Rpc;7;0.01%;0.09%;6.988MiB / 7.645GiB;40.9kB / 29.7kB;0B / 57.3kB;12;33
Node_3;17;0.84%;0.19%;14.72MiB / 7.645GiB;126kB / 102kB;0B / 209kB;12;33
Node_2;17;0.77%;0.19%;15.09MiB / 7.645GiB;167kB / 146kB;0B / 209kB;12;33
Node_1;17;0.80%;0.20%;15.73MiB / 7.645GiB;178kB / 174kB;0B / 209kB;12;33
Devnet_Goshimmer;18;209.18%;0.90%;70.13MiB / 7.645GiB;37.7kB / 69.2kB;0B / 77.8kB;12;33
Nodes_Router_1;2;0.00%;0.01%;848KiB / 7.645GiB;135kB / 122kB;0B / 0B;12;33
Gateways_Router_1;2;0.00%;0.01%;856KiB / 7.645GiB;18.4kB / 0B;0B / 0B;12;33
Gateway_3;32;19.60%;2.08%;162.5MiB / 7.645GiB;2.81kB / 826B;0B / 12.3kB;19;34
Gateway_2;32;15.81%;3.19%;249.4MiB / 7.645GiB;3.73kB / 826B;0B / 12.3kB;19;34
Gateway_1;32;15.37%;2.74%;214.8MiB / 7.645GiB;4.46kB / 826B;0B / 12.3kB;19;34
Rpc;7;0.02%;0.09%;6.988MiB / 7.645GiB;41kB / 29.7kB;0B / 57.3kB;19;34
Node_3;17;0.82%;0.19%;14.79MiB / 7.645GiB;129kB / 103kB;0B / 209kB;19;34
