Gateway_1;32;31.04%;2.11%;165.3MiB / 7.645GiB;2.44kB / 826B;0B / 12.3kB;5;37
Rpc;7;0.02%;0.09%;6.855MiB / 7.645GiB;40.7kB / 29.7kB;0B / 57.3kB;5;37
Node_3;17;0.83%;0.19%;15.06MiB / 7.645GiB;169kB / 151kB;0B / 209kB;5;37
Node_2;18;0.84%;0.20%;15.9MiB / 7.645GiB;168kB / 151kB;0B / 209kB;5;37
Node_1;17;0.83%;0.19%;15.06MiB / 7.645GiB;233kB / 224kB;0B / 209kB;5;37
Devnet_Goshimmer;18;208.01%;0.92%;71.89MiB / 7.645GiB;33.8kB / 61.4kB;0B / 77.8kB;5;37
Nodes_Router_1;2;0.00%;0.01%;848KiB / 7.645GiB;123kB / 111kB;0B / 0B;5;37
Gateways_Router_1;2;0.00%;0.01%;836KiB / 7.645GiB;16.5kB / 0B;0B / 0B;5;37
Gateway_1;32;19.35%;2.16%;169.2MiB / 7.645GiB;2.62kB / 826B;0B / 12.3kB;13;30
Rpc;7;0.01%;0.09%;6.855MiB / 7.645GiB;40.7kB / 29.7kB;0B / 57.3kB;13;30
Node_3;17;0.75%;0.19%;15.11MiB / 7.645GiB;172kB / 152kB;0B / 209kB;13;30
Node_2;18;0.78%;0.20%;15.96MiB / 7.645GiB;171kB / 152kB;0B / 209kB;13;30
Node_1;17;0.75%;0.19%;15.13MiB / 7.645GiB;235kB / 225kB;0B / 209kB;13;30
Devnet_Goshimmer;18;205.16%;0.92%;71.89MiB / 7.645GiB;36.9kB / 69.4kB;0B / 77.8kB;13;30
Nodes_Router_1;2;0.00%;0.01%;848KiB / 7.645GiB;135kB / 122kB;0B / 0B;13;30
Gateways_Router_1;2;0.00%;0.01%;836KiB / 7.645GiB;16.5kB / 0B;0B / 0B;13;30
Gateway_1;32;19.63%;2.19%;171.2MiB / 7.645GiB;2.72kB / 826B;0B / 12.3kB;20;30
Rpc;7;0.01%;0.09%;6.855MiB / 7.645GiB;40.7kB / 29.7kB;0B / 57.3kB;20;30
Node_3;17;0.79%;0.20%;15.46MiB / 7.645GiB;175kB / 153kB;0B / 209kB;20;30
Node_2;18;0.79%;0.19%;14.99MiB / 7.645GiB;174kB / 153kB;0B / 209kB;20;30
Node_1;17;0.76%;0.20%;15.56MiB / 7.645GiB;238kB / 226kB;0B / 209kB;20;30
Devnet_Goshimmer;18;208.39%;0.92%;71.92MiB / 7.645GiB;40kB / 77.4kB;0B / 77.8kB;20;30
Nodes_Router_1;2;0.00%;0.01%;848KiB / 7.645GiB;146kB / 133kB;0B / 0B;20;30
Gateways_Router_1;2;0.00%;0.01%;836KiB / 7.645GiB;16.5kB / 0B;0B / 0B;20;30
Gateway_1;32;14.89%;2.19%;171.3MiB / 7.645GiB;2.72kB / 826B;0B / 12.3kB;27;29
Rpc;7;0.01%;0.09%;6.855MiB / 7.645GiB;40.8kB / 29.7kB;0B / 57.3kB;27;29
