Devnet_Goshimmer;208.46%;0.99%;77.72MiB / 7.646GiB;18;18.3kB / 6.63kB;51.1MB / 77.8kB;60;29
Nodes_Router_1;0.00%;0.01%;816KiB / 7.646GiB;2;32.4kB / 2.4kB;0B / 0B;60;29
Gateways_Router_1;0.00%;0.07%;5.215MiB / 7.646GiB;2;35kB / 0B;4.7MB / 0B;60;29
Gateway_1;22.91%;1.92%;150.6MiB / 7.646GiB;29;6.04kB / 826B;52.5MB / 16.4kB;68;29
Rpc;0.05%;0.16%;12.14MiB / 7.646GiB;17;13.2kB / 5.49kB;7.89MB / 69.6kB;68;29
Node_1;0.05%;0.46%;36.12MiB / 7.646GiB;17;11.3kB / 1.32kB;62.2MB / 49.2kB;68;29
Devnet_Goshimmer;213.74%;0.99%;77.63MiB / 7.646GiB;18;18.4kB / 6.76kB;51.1MB / 77.8kB;68;29
Nodes_Router_1;0.00%;0.01%;816KiB / 7.646GiB;2;32.5kB / 2.44kB;0B / 0B;68;29
Gateways_Router_1;0.00%;0.07%;5.215MiB / 7.646GiB;2;35kB / 0B;4.7MB / 0B;68;29
Gateway_1;20.76%;1.92%;150.6MiB / 7.646GiB;29;6.47kB / 826B;52.5MB / 16.4kB;76;29
Node_1;0.01%;0.47%;36.67MiB / 7.646GiB;17;12.8kB / 2.71kB;62.2MB / 57.3kB;76;29
Devnet_Goshimmer;211.55%;0.99%;77.84MiB / 7.646GiB;18;19.8kB / 7.64kB;51.1MB / 77.8kB;76;29
Nodes_Router_1;0.00%;0.01%;816KiB / 7.646GiB;2;35.8kB / 4.9kB;0B / 0B;76;29
Gateways_Router_1;0.00%;0.07%;5.223MiB / 7.646GiB;2;35.5kB / 0B;4.7MB / 0B;76;29
Gateway_1;19.75%;1.93%;150.9MiB / 7.646GiB;29;7.39kB / 826B;52.5MB / 16.4kB;84;28
Node_1;1.02%;0.47%;36.71MiB / 7.646GiB;17;13.7kB / 2.71kB;62.2MB / 57.3kB;84;28
Devnet_Goshimmer;215.11%;0.99%;77.85MiB / 7.646GiB;18;20.7kB / 7.64kB;51.1MB / 77.8kB;84;28
Nodes_Router_1;0.00%;0.01%;816KiB / 7.646GiB;2;37.6kB / 4.9kB;0B / 0B;84;28
Gateways_Router_1;0.00%;0.07%;5.223MiB / 7.646GiB;2;37.8kB / 0B;4.7MB / 0B;84;28
Gateway_1;28.70%;1.93%;151.1MiB / 7.646GiB;29;7.39kB / 826B;52.5MB / 16.4kB;91;29
Node_1;0.03%;0.47%;36.72MiB / 7.646GiB;17;13.8kB / 2.84kB;62.2MB / 57.3kB;91;29
Devnet_Goshimmer;213.08%;0.99%;77.84MiB / 7.646GiB;18;20.8kB / 7.84kB;51.1MB / 77.8kB;91;29
Nodes_Router_1;0.00%;0.01%;816KiB / 7.646GiB;2;38kB / 5.16kB;0B / 0B;91;29
Gateways_Router_1;0.00%;0.07%;5.223MiB / 7.646GiB;2;37.8kB / 0B;4.7MB / 0B;91;29
Gateway_1;15.16%;2.36%;184.4MiB / 7.646GiB;27;4.62kB / 826B;65.5kB / 16.4kB;6;40
Rpc;20.36%;0.21%;16.07MiB / 7.646GiB;22;7.35kB / 1.24kB;86kB / 69.6kB;6;40
Node_1;0.02%;0.14%;11MiB / 7.646GiB;17;8.74kB / 443B;152kB / 49.2kB;6;40
Devnet_Goshimmer;207.23%;0.89%;69.98MiB / 7.646GiB;18;10.5kB / 1.42kB;0B / 77.8kB;6;40
Nodes_Router_1;0.00%;0.01%;780KiB / 7.646GiB;2;24.1kB / 799B;0B / 0B;6;40
Gateways_Router_1;0.00%;0.01%;780KiB / 7.646GiB;2;28.2kB / 0B;0B / 0B;6;40
Gateway_1;16.61%;2.32%;182MiB / 7.646GiB;27;5.45kB / 826B;65.5kB / 16.4kB;13;27
Rpc;0.02%;0.14%;10.91MiB / 7.646GiB;17;9.47kB / 2.13kB;86kB / 69.6kB;13;27
Node_1;0.06%;0.14%;11.05MiB / 7.646GiB;17;9.08kB / 443B;152kB / 49.2kB;13;27
Devnet_Goshimmer;214.63%;0.89%;70.08MiB / 7.646GiB;18;12kB / 2.79kB;0B / 77.8kB;13;27
Nodes_Router_1;0.00%;0.01%;812KiB / 7.646GiB;2;25.6kB / 799B;0B / 0B;13;27
Gateways_Router_1;0.00%;0.01%;816KiB / 7.646GiB;2;30.2kB / 0B;0B / 0B;13;27
Gateway_1;13.22%;2.17%;169.6MiB / 7.646GiB;27;5.65kB / 826B;65.5kB / 16.4kB;21;27
Rpc;0.01%;0.14%;10.98MiB / 7.646GiB;17;9.54kB / 2.13kB;86kB / 69.6kB;21;27
Node_1;0.01%;0.14%;11.08MiB / 7.646GiB;17;9.69kB / 575B;152kB / 49.2kB;21;27
Devnet_Goshimmer;212.89%;0.88%;68.75MiB / 7.646GiB;18;12.3kB / 2.92kB;0B / 77.8kB;21;27
Nodes_Router_1;0.00%;0.01%;812KiB / 7.646GiB;2;26.1kB / 1.06kB;0B / 0B;21;27
Gateways_Router_1;0.00%;0.01%;816KiB / 7.646GiB;2;30.2kB / 0B;0B / 0B;21;27
Gateway_1;23.62%;1.96%;153.4MiB / 7.646GiB;29;5.65kB / 826B;65.5kB / 16.4kB;29;27
Rpc;0.01%;0.14%;11.05MiB / 7.646GiB;17;9.87kB / 2.26kB;86kB / 69.6kB;29;27
Node_1;0.02%;0.14%;11.18MiB / 7.646GiB;17;9.69kB / 575B;152kB / 49.2kB;29;27
Devnet_Goshimmer;211.51%;0.88%;68.77MiB / 7.646GiB;18;12.5kB / 3.05kB;0B / 77.8kB;29;27
Nodes_Router_1;0.00%;0.01%;812KiB / 7.646GiB;2;26.1kB / 1.06kB;0B / 0B;29;27
Gateways_Router_1;0.00%;0.01%;816KiB / 7.646GiB;2;30.2kB / 0B;0B / 0B;29;27
Gateway_1;57.29%;1.87%;146.5MiB / 7.646GiB;29;5.92kB / 826B;65.5kB / 16.4kB;37;29
Rpc;0.01%;0.14%;11.09MiB / 7.646GiB;17;9.87kB / 2.26kB;86kB / 69.6kB;37;29
Node_1;0.04%;0.14%;11.23MiB / 7.646GiB;17;9.82kB / 707B;152kB / 49.2kB;37;29
Devnet_Goshimmer;206.35%;0.88%;68.9MiB / 7.646GiB;18;12.6kB / 3.18kB;0B / 77.8kB;37;29
Nodes_Router_1;0.00%;0.01%;812KiB / 7.646GiB;2;26.3kB / 1.33kB;0B / 0B;37;29
Gateways_Router_1;0.00%;0.01%;816KiB / 7.646GiB;2;30.2kB / 0B;0B / 0B;37;29
Gateway_1;28.06%;1.74%;136MiB / 7.646GiB;29;6.31kB / 826B;65.5kB / 16.4kB;44;29
Rpc;0.03%;0.14%;11.2MiB / 7.646GiB;17;10.4kB / 2.39kB;86kB / 69.6kB;44;29
Node_1;0.03%;0.14%;11.24MiB / 7.646GiB;17;10.1kB / 791B;152kB / 49.2kB;44;29
Devnet_Goshimmer;205.60%;0.88%;68.91MiB / 7.646GiB;18;13.2kB / 3.35kB;0B / 77.8kB;44;29
Nodes_Router_1;0.00%;0.01%;812KiB / 7.646GiB;2;27.2kB / 1.45kB;0B / 0B;44;29
Gateways_Router_1;0.00%;0.01%;816KiB / 7.646GiB;2;31.4kB / 0B;0B / 0B;44;29
Gateway_1;22.47%;1.73%;135.5MiB / 7.646GiB;29;6.31kB / 826B;65.5kB / 16.4kB;52;28
Rpc;0.04%;0.14%;11.25MiB / 7.646GiB;17;10.4kB / 2.39kB;86kB / 69.6kB;52;28
Node_1;0.08%;0.14%;11.33MiB / 7.646GiB;17;10.7kB / 923B;152kB / 49.2kB;52;28
Devnet_Goshimmer;207.49%;0.89%;69.55MiB / 7.646GiB;18;13.6kB / 3.49kB;0B / 77.8kB;52;28
Nodes_Router_1;0.00%;0.01%;812KiB / 7.646GiB;2;28kB / 1.72kB;0B / 0B;52;28
Gateways_Router_1;0.00%;0.01%;816KiB / 7.646GiB;2;31.5kB / 0B;0B / 0B;52;28
Gateway_1;19.77%;1.73%;135.5MiB / 7.646GiB;29;6.31kB / 826B;65.5kB / 16.4kB;60;29
Rpc;0.03%;0.14%;11.33MiB / 7.646GiB;17;10.9kB / 2.61kB;86kB / 69.6kB;60;29
Node_1;0.01%;0.15%;11.41MiB / 7.646GiB;17;10.7kB / 923B;152kB / 49.2kB;60;29
Devnet_Goshimmer;209.03%;0.89%;69.56MiB / 7.646GiB;18;13.8kB / 3.75kB;0B / 77.8kB;60;29
Nodes_Router_1;0.00%;0.01%;812KiB / 7.646GiB;2;28.1kB / 1.76kB;0B / 0B;60;29
Gateways_Router_1;0.00%;0.01%;816KiB / 7.646GiB;2;31.5kB / 0B;0B / 0B;60;29
Gateway_1;19.76%;1.73%;135.6MiB / 7.646GiB;29;6.51kB / 826B;65.5kB / 16.4kB;68;27
Rpc;0.19%;0.22%;16.98MiB / 7.646GiB;23;15.7kB / 7kB;90.1kB / 69.6kB;68;27
Node_1;1.12%;0.15%;11.52MiB / 7.646GiB;17;11.6kB / 2.24kB;152kB / 57.3kB;68;27
Devnet_Goshimmer;206.52%;0.89%;69.93MiB / 7.646GiB;18;17.6kB / 7.45kB;0B / 77.8kB;68;27
Nodes_Router_1;0.00%;0.01%;812KiB / 7.646GiB;2;30.3kB / 4.02kB;0B / 0B;68;27
Gateways_Router_1;0.00%;0.01%;816KiB / 7.646GiB;2;31.6kB / 0B;0B / 0B;68;27
Gateway_1;20.75%;1.73%;135.7MiB / 7.646GiB;29;6.58kB / 826B;65.5kB / 16.4kB;75;28
Rpc;1.56%;0.21%;16.2MiB / 7.646GiB;23;19.1kB / 11.2kB;131kB / 77.8kB;75;28
Node_1;2.97%;0.16%;12.38MiB / 7.646GiB;17;19.8kB / 6.42kB;319kB / 143kB;75;28
Devnet_Goshimmer;209.23%;0.89%;69.79MiB / 7.646GiB;18;23kB / 16.1kB;0B / 77.8kB;75;28
Nodes_Router_1;0.00%;0.01%;812KiB / 7.646GiB;2;42.7kB / 16.4kB;0B / 0B;75;28
Gateways_Router_1;0.00%;0.01%;816KiB / 7.646GiB;2;31.6kB / 0B;0B / 0B;75;28
Gateway_1;20.07%;1.73%;135.7MiB / 7.646GiB;29;6.58kB / 826B;65.5kB / 16.4kB;83;29
Rpc;0.07%;0.21%;16.75MiB / 7.646GiB;22;19.8kB / 12.9kB;139kB / 77.8kB;83;29
Node_1;0.77%;0.16%;12.86MiB / 7.646GiB;17;24.3kB / 8.67kB;336kB / 172kB;83;29
Devnet_Goshimmer;208.22%;0.89%;69.82MiB / 7.646GiB;18;24.8kB / 19.2kB;0B / 77.8kB;83;29
Nodes_Router_1;0.00%;0.01%;812KiB / 7.646GiB;2;49.5kB / 23.2kB;0B / 0B;83;29
Gateways_Router_1;0.00%;0.01%;816KiB / 7.646GiB;2;31.6kB / 0B;0B / 0B;83;29
Gateway_1;28.24%;1.74%;136MiB / 7.646GiB;29;6.58kB / 826B;65.5kB / 16.4kB;91;28
Rpc;0.02%;0.21%;16.8MiB / 7.646GiB;22;19.8kB / 12.9kB;139kB / 77.8kB;91;28
Node_1;1.88%;0.16%;12.66MiB / 7.646GiB;17;27kB / 9.69kB;336kB / 172kB;91;28
Devnet_Goshimmer;211.36%;0.89%;69.6MiB / 7.646GiB;18;26kB / 22.3kB;0B / 77.8kB;91;28
Nodes_Router_1;0.00%;0.01%;812KiB / 7.646GiB;2;53.8kB / 27.5kB;0B / 0B;91;28
Gateways_Router_1;0.00%;0.01%;816KiB / 7.646GiB;2;31.6kB / 0B;0B / 0B;91;28
Gateway_1;20.36%;1.74%;136MiB / 7.646GiB;29;6.58kB / 826B;65.5kB / 16.4kB;99;28
Rpc;0.97%;0.23%;18.28MiB / 7.646GiB;23;40kB / 28.5kB;270kB / 77.8kB;99;28
Node_1;4.58%;0.18%;13.7MiB / 7.646GiB;17;42.4kB / 17.8kB;401kB / 328kB;99;28
Devnet_Goshimmer;209.44%;0.89%;69.61MiB / 7.646GiB;18;28.1kB / 25.9kB;0B / 77.8kB;99;28
Nodes_Router_1;0.00%;0.01%;812KiB / 7.646GiB;2;76.9kB / 50.4kB;0B / 0B;99;28
Gateways_Router_1;0.00%;0.01%;816KiB / 7.646GiB;2;49.5kB / 17.9kB;0B / 0B;99;28
Rpc;0.02%;0.25%;19.28MiB / 7.646GiB;25;75.5kB / 52.3kB;270kB / 77.8kB;106;29
Node_1;0.87%;0.17%;13.43MiB / 7.646GiB;17;65.1kB / 36.1kB;401kB / 553kB;106;29
Devnet_Goshimmer;212.52%;0.89%;70.05MiB / 7.646GiB;18;32.6kB / 30.3kB;0B / 77.8kB;106;29
Nodes_Router_1;0.00%;0.01%;812KiB / 7.646GiB;2;119kB / 90.7kB;0B / 0B;106;29
Gateways_Router_1;0.00%;0.01%;816KiB / 7.646GiB;2;76.6kB / 44.2kB;0B / 0B;106;29
