Registering contract;5.43008828163147;100000
Add Monitoring Capability;5.554851055145264;186103
Add a product batch;5.974758625030518;141259
Add a rule;5.529038667678833;167078
6;1;1;5.6741623878479;170;5.497727394104004;-1;68429;success
5;1;1;12.435737609863281;306;5.449810028076172;2;50957;success
a;1;1;19.10912013053894;234;5.43239951133728;2;48157;success
6;1;1;25.748124361038208;178;5.453540563583374;2;48157;success
5;1;1;32.4055278301239;214;5.4362664222717285;-1;51329;success
3;1;1;39.019285440444946;175;5.432187557220459;2;50957;success
8;1;1;45.65277314186096;163;5.462597846984863;2;48157;success
5;1;1;52.471230030059814;302;5.510943651199341;0;35945;success
9;1;1;59.1295690536499;226;5.424795627593994;0;48145;success
2;1;1;65.72266221046448;188;5.397812604904175;0;48145;success
