Gateway_1;34;22.00%;2.42%;189.9MiB / 7.646GiB;3.09kB / 826B;0B / 12.3kB;48;34
Rpc;8;0.02%;0.09%;7.004MiB / 7.646GiB;41.1kB / 29.7kB;4.1kB / 57.3kB;48;34
Node_3;18;0.82%;0.19%;14.68MiB / 7.646GiB;141kB / 111kB;16.4kB / 209kB;48;34
Node_2;18;0.88%;0.19%;15.18MiB / 7.646GiB;182kB / 158kB;90.1kB / 209kB;48;34
Node_1;17;0.91%;0.20%;15.32MiB / 7.646GiB;204kB / 184kB;65.5kB / 209kB;48;34
Devnet_Goshimmer;18;211.15%;0.90%;70.09MiB / 7.646GiB;51.7kB / 108kB;0B / 77.8kB;48;34
Nodes_Router_1;2;0.00%;0.01%;852KiB / 7.646GiB;188kB / 175kB;0B / 0B;48;34
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.646GiB;17.3kB / 0B;0B / 0B;48;34
Gateway_1;34;26.13%;2.43%;189.9MiB / 7.646GiB;3.09kB / 826B;0B / 12.3kB;56;33
Rpc;8;0.01%;0.09%;7.004MiB / 7.646GiB;41.1kB / 29.7kB;4.1kB / 57.3kB;56;33
Node_3;18;0.69%;0.19%;14.92MiB / 7.646GiB;144kB / 112kB;16.4kB / 209kB;56;33
Node_2;18;0.79%;0.19%;14.77MiB / 7.646GiB;185kB / 159kB;90.1kB / 209kB;56;33
Node_1;17;0.82%;0.19%;15.07MiB / 7.646GiB;207kB / 185kB;65.5kB / 209kB;56;33
Devnet_Goshimmer;18;211.71%;0.90%;70.18MiB / 7.646GiB;55.1kB / 116kB;0B / 77.8kB;56;33
Nodes_Router_1;2;0.00%;0.01%;852KiB / 7.646GiB;200kB / 187kB;0B / 0B;56;33
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.646GiB;17.3kB / 0B;0B / 0B;56;33
Gateway_1;34;32.54%;2.43%;190MiB / 7.646GiB;3.16kB / 826B;0B / 12.3kB;63;32
Rpc;8;0.04%;0.09%;7.004MiB / 7.646GiB;41.2kB / 29.8kB;4.1kB / 57.3kB;63;32
Node_3;18;0.78%;0.19%;14.64MiB / 7.646GiB;148kB / 114kB;16.4kB / 209kB;63;32
Node_2;18;0.80%;0.19%;14.94MiB / 7.646GiB;189kB / 161kB;90.1kB / 209kB;63;32
Node_1;17;0.83%;0.19%;15.26MiB / 7.646GiB;211kB / 188kB;65.5kB / 209kB;63;32
Devnet_Goshimmer;18;205.99%;0.89%;69.88MiB / 7.646GiB;58.2kB / 124kB;0B / 77.8kB;63;32
Nodes_Router_1;2;0.00%;0.01%;852KiB / 7.646GiB;211kB / 198kB;0B / 0B;63;32
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.646GiB;17.3kB / 0B;0B / 0B;63;32
Gateway_1;34;26.16%;2.43%;190MiB / 7.646GiB;3.27kB / 826B;0B / 12.3kB;70;32
Rpc;8;0.01%;0.09%;7.004MiB / 7.646GiB;41.4kB / 29.9kB;4.1kB / 57.3kB;70;32
Node_3;18;0.75%;0.19%;14.77MiB / 7.646GiB;151kB / 115kB;16.4kB / 209kB;70;32
Node_2;18;0.78%;0.19%;14.73MiB / 7.646GiB;192kB / 163kB;90.1kB / 209kB;70;32
Node_1;17;0.78%;0.20%;15.27MiB / 7.646GiB;214kB / 189kB;65.5kB / 209kB;70;32
Devnet_Goshimmer;18;206.80%;0.90%;70.29MiB / 7.646GiB;61.2kB / 132kB;0B / 77.8kB;70;32
Nodes_Router_1;2;0.00%;0.01%;852KiB / 7.646GiB;222kB / 209kB;0B / 0B;70;32
Gateways_Router_1;2;0.00%;0.01%;844KiB / 7.646GiB;17.3kB / 0B;0B / 0B;70;32
Gateway_1;34;27.58%;2.43%;190.1MiB / 7.646GiB;3.27kB / 826B;0B / 12.3kB;77;31
Rpc;8;0.01%;0.09%;7.004MiB / 7.646GiB;41.4kB / 29.9kB;4.1kB / 57.3kB;77;31
Node_3;18;0.88%;0.19%;15MiB / 7.646GiB;153kB / 116kB;16.4kB / 209kB;77;31
Node_2;18;0.78%;0.19%;14.79MiB / 7.646GiB;195kB / 164kB;90.1kB / 209kB;77;31
Node_1;17;0.86%;0.19%;14.9MiB / 7.646GiB;217kB / 190kB;65.5kB / 209kB;77;31
Devnet_Goshimmer;18;210.81%;0.90%;70.22MiB / 7.646GiB;64.3kB / 140kB;0B / 77.8kB;77;31
