Gateway_1;32;26.99%;2.01%;157MiB / 7.645GiB;2.44kB / 826B;0B / 12.3kB;5;40
Rpc;7;0.01%;0.09%;6.93MiB / 7.645GiB;40.8kB / 29.6kB;0B / 57.3kB;5;40
Node_3;17;0.79%;0.19%;14.77MiB / 7.645GiB;155kB / 140kB;0B / 209kB;5;40
Node_2;17;0.84%;0.19%;14.97MiB / 7.645GiB;114kB / 100kB;0B / 209kB;5;40
Node_1;17;0.81%;0.19%;15.24MiB / 7.645GiB;169kB / 154kB;0B / 209kB;5;40
Devnet_Goshimmer;18;209.27%;0.92%;72.14MiB / 7.645GiB;33kB / 59.2kB;0B / 77.8kB;5;40
Nodes_Router_1;2;0.00%;0.01%;860KiB / 7.645GiB;120kB / 108kB;0B / 0B;5;40
Gateways_Router_1;2;0.00%;0.01%;848KiB / 7.645GiB;16.5kB / 0B;0B / 0B;5;40
Gateway_1;32;19.47%;2.06%;160.9MiB / 7.645GiB;2.55kB / 826B;0B / 12.3kB;12;30
Rpc;7;0.01%;0.09%;6.93MiB / 7.645GiB;40.8kB / 29.6kB;0B / 57.3kB;12;30
Node_3;17;0.87%;0.19%;14.91MiB / 7.645GiB;158kB / 141kB;0B / 209kB;12;30
Node_2;17;0.80%;0.19%;15.23MiB / 7.645GiB;116kB / 101kB;0B / 209kB;12;30
Node_1;17;0.84%;0.20%;15.38MiB / 7.645GiB;172kB / 155kB;0B / 209kB;12;30
Devnet_Goshimmer;18;209.28%;0.92%;71.96MiB / 7.645GiB;36.1kB / 67.2kB;0B / 77.8kB;12;30
Nodes_Router_1;2;0.00%;0.01%;860KiB / 7.645GiB;132kB / 119kB;0B / 0B;12;30
Gateways_Router_1;2;0.00%;0.01%;848KiB / 7.645GiB;16.5kB / 0B;0B / 0B;12;30
Gateway_1;32;14.79%;2.09%;163.5MiB / 7.645GiB;2.72kB / 826B;0B / 12.3kB;20;30
Rpc;7;0.01%;0.09%;6.93MiB / 7.645GiB;40.8kB / 29.6kB;0B / 57.3kB;20;30
Node_3;17;0.80%;0.19%;15.19MiB / 7.645GiB;160kB / 142kB;0B / 209kB;20;30
Node_2;17;0.87%;0.20%;15.35MiB / 7.645GiB;119kB / 102kB;0B / 209kB;20;30
Node_1;17;0.81%;0.20%;15.7MiB / 7.645GiB;175kB / 156kB;0B / 209kB;20;30
Devnet_Goshimmer;18;207.74%;0.92%;72.11MiB / 7.645GiB;39.1kB / 75.2kB;0B / 77.8kB;20;30
Nodes_Router_1;2;0.00%;0.01%;860KiB / 7.645GiB;143kB / 130kB;0B / 0B;20;30
Gateways_Router_1;2;0.00%;0.01%;848KiB / 7.645GiB;16.5kB / 0B;0B / 0B;20;30
Gateway_1;32;18.77%;2.09%;163.7MiB / 7.645GiB;2.72kB / 826B;0B / 12.3kB;27;30
Rpc;7;0.01%;0.09%;6.93MiB / 7.645GiB;40.8kB / 29.6kB;0B / 57.3kB;27;30
