Gateway_2;921kB (virtual 1.94GB)
Gateway_1;1.21MB (virtual 1.94GB)
Rpc;49.4kB (virtual 1.03GB)
Node_2;49.8kB (virtual 1.03GB)
Node_1;49.8kB (virtual 1.03GB)
Devnet_Goshimmer;31.7kB (virtual 520MB)
Nodes_Router_2;0B (virtual 715MB)
Nodes_Router_1;0B (virtual 715MB)
Gateways_Router_1;0B (virtual 715MB)
Gateway_2;924kB (virtual 1.94GB)
Gateway_1;1.22MB (virtual 1.94GB)
Rpc;49.4kB (virtual 1.03GB)
Node_2;49.8kB (virtual 1.03GB)
Node_1;49.8kB (virtual 1.03GB)
Devnet_Goshimmer;31.7kB (virtual 520MB)
Nodes_Router_2;0B (virtual 715MB)
Nodes_Router_1;0B (virtual 715MB)
Gateways_Router_1;0B (virtual 715MB)
Gateway_2;927kB (virtual 1.94GB)
Gateway_1;1.22MB (virtual 1.94GB)
Rpc;49.4kB (virtual 1.03GB)
Node_2;49.8kB (virtual 1.03GB)
Node_1;49.8kB (virtual 1.03GB)
Devnet_Goshimmer;31.7kB (virtual 520MB)
Nodes_Router_2;0B (virtual 715MB)
Nodes_Router_1;0B (virtual 715MB)
Gateways_Router_1;0B (virtual 715MB)
Gateway_2;930kB (virtual 1.94GB)
Gateway_1;1.22MB (virtual 1.94GB)
Rpc;49.4kB (virtual 1.03GB)
Node_2;49.8kB (virtual 1.03GB)
Node_1;49.8kB (virtual 1.03GB)
Devnet_Goshimmer;31.7kB (virtual 520MB)
Nodes_Router_2;0B (virtual 715MB)
Nodes_Router_1;0B (virtual 715MB)
Gateways_Router_1;0B (virtual 715MB)
Gateway_2;934kB (virtual 1.94GB)
Gateway_1;1.23MB (virtual 1.94GB)
Rpc;49.4kB (virtual 1.03GB)
Node_2;49.8kB (virtual 1.03GB)
Node_1;49.8kB (virtual 1.03GB)
Devnet_Goshimmer;31.7kB (virtual 520MB)
Nodes_Router_2;0B (virtual 715MB)
