Gateway_2;20.39%;2.84%;222.8MiB / 7.646GiB;27;3.78kB / 826B;0B / 16.4kB;6;34
Gateway_1;15.58%;2.43%;190.1MiB / 7.646GiB;27;5kB / 826B;410kB / 16.4kB;6;34
Rpc;0.02%;0.14%;10.96MiB / 7.646GiB;15;8.64kB / 2.12kB;258kB / 90.1kB;6;34
Node_2;0.01%;0.14%;10.96MiB / 7.646GiB;17;8.05kB / 443B;4.1kB / 57.3kB;6;34
Node_1;0.02%;0.17%;13.67MiB / 7.646GiB;16;9.62kB / 443B;3.28MB / 57.3kB;6;34
Devnet_Goshimmer;210.31%;0.92%;72.15MiB / 7.646GiB;18;13.4kB / 3.14kB;1.53MB / 77.8kB;6;34
Nodes_Router_2;0.00%;0.01%;820KiB / 7.646GiB;2;27.3kB / 799B;0B / 0B;6;34
Nodes_Router_1;0.00%;0.01%;812KiB / 7.646GiB;2;29.9kB / 799B;0B / 0B;6;34
Gateways_Router_1;0.00%;0.02%;1.203MiB / 7.646GiB;2;35kB / 0B;438kB / 0B;6;34
Gateway_2;15.61%;3.13%;245.2MiB / 7.646GiB;27;4.12kB / 826B;0B / 16.4kB;14;29
Gateway_1;16.11%;2.37%;185.2MiB / 7.646GiB;27;5.34kB / 826B;410kB / 16.4kB;14;29
Rpc;0.08%;0.14%;11.03MiB / 7.646GiB;15;8.81kB / 2.12kB;258kB / 90.1kB;14;29
Node_2;0.05%;0.14%;11.03MiB / 7.646GiB;17;8.59kB / 575B;4.1kB / 57.3kB;14;29
Node_1;0.02%;0.18%;13.76MiB / 7.646GiB;16;10.1kB / 575B;3.28MB / 57.3kB;14;29
Devnet_Goshimmer;211.83%;0.92%;71.97MiB / 7.646GiB;18;13.9kB / 3.4kB;1.53MB / 77.8kB;14;29
Nodes_Router_2;0.00%;0.01%;820KiB / 7.646GiB;2;27.9kB / 1.06kB;0B / 0B;14;29
Nodes_Router_1;0.00%;0.01%;812KiB / 7.646GiB;2;30.5kB / 1.06kB;0B / 0B;14;29
Gateways_Router_1;0.00%;0.02%;1.203MiB / 7.646GiB;2;35.3kB / 0B;438kB / 0B;14;29
Gateway_2;14.26%;3.14%;246.1MiB / 7.646GiB;27;4.22kB / 826B;0B / 16.4kB;22;29
Gateway_1;13.86%;2.16%;168.9MiB / 7.646GiB;27;5.34kB / 826B;410kB / 16.4kB;22;29
Rpc;0.02%;0.14%;11.03MiB / 7.646GiB;15;9.12kB / 2.26kB;258kB / 90.1kB;22;29
Node_2;0.01%;0.14%;11.07MiB / 7.646GiB;17;8.69kB / 575B;4.1kB / 57.3kB;22;29
Node_1;0.01%;0.18%;13.81MiB / 7.646GiB;16;10.1kB / 575B;3.28MB / 57.3kB;22;29
Devnet_Goshimmer;208.76%;0.92%;71.98MiB / 7.646GiB;18;14kB / 3.54kB;1.53MB / 77.8kB;22;29
