0;0;0
Add Monitoring Capability;5.42739725112915;186103
0;0;0
Add a product batch;5.932080030441284;141259
Add Monitoring Capability;5.496758222579956;186103
Registering contract;5.446507692337036;100000
Add a rule;5.785417079925537;167078
Add a product batch;5.475696563720703;141259
Add Monitoring Capability;5.404170513153076;186103
4;1;1;5.820993185043335;223;5.587270975112915;2;68057;success
0;0;0
7;2;1;5.51188588142395;186;5.31804347038269;-1;63853;success
3;1;1;12.536061763763428;209;5.497144460678101;1;50957;success
0;0;0
7;1;1;19.156503200531006;111;5.5001747608184814;1;48157;success
6;2;1;12.132627487182617;144;5.468284368515015;0;31369;success
Add a rule;5.5054075717926025;167078
2;1;1;25.84136176109314;227;5.449289083480835;-1;51329;success
9;2;1;18.81740641593933;180;5.496839761734009;1;63481;success
a;3;1;5.7021543979644775;192;5.501938343048096;2;68057;success
4;1;1;32.50407004356384;114;5.53988242149353;1;50957;success
a;2;1;25.480432510375977;201;5.4528234004974365;1;43581;success
9;3;1;12.493695259094238;275;5.508680582046509;-2;51329;success
8;1;1;39.16715407371521;244;5.408514499664307;-1;51329;success
5;2;1;32.14455556869507;225;5.428034543991089;-1;46753;success
9;3;1;19.14699101448059;224;5.420462131500244;-1;51329;success
8;1;1;45.83373427391052;197;5.463088035583496;-1;48529;success
6;2;1;38.811442852020264;118;5.540304660797119;0;31369;success
8;3;1;25.768230199813843;192;5.421090841293335;1;50957;success
2;1;1;52.42986035346985;165;5.4224371910095215;1;50957;success
6;2;1;45.407100677490234;192;5.394669532775879;-2;63853;success
a;3;1;32.38983511924744;165;5.447513818740845;0;35945;success
9;2;1;52.10290741920471;264;5.423998117446899;1;46381;success
2;1;1;59.127992391586304;187;5.502272129058838;0;35945;success
5;3;1;39.054129123687744;240;5.415250062942505;-1;68429;success
3;1;1;65.68487501144409;137;5.410994052886963;-1;68429;success
6;2;1;59.88355350494385;266;6.506795406341553;2;46381;success
3;3;1;45.7063775062561;184;5.460222482681274;-1;48529;success
6;1;1;72.54739904403687;174;5.681334495544434;-1;48529;success
2;2;1;66.66942358016968;168;5.610746383666992;1;46381;success
2;3;1;52.3423957824707;144;5.483125686645508;-2;51329;success
4;1;1;79.1394715309143;151;5.43304967880249;1;50957;success
9;2;1;73.33695912361145;241;5.418233394622803;0;31369;success
5;3;1;59.098493814468384;279;5.469165563583374;1;50957;success
7;1;1;86.06240248680115;119;5.793116092681885;2;50957;success
5;2;1;80.49833512306213;234;5.918438673019409;1;63481;success
9;3;1;65.79575562477112;236;5.452448606491089;-1;51329;success
8;1;1;93.07492518424988;171;5.832555294036865;1;50957;success
9;2;1;87.19499802589417;153;5.534461975097656;0;31369;success
3;3;1;72.42416548728943;183;5.436070680618286;-2;51329;success
9;1;1;99.67113709449768;193;5.3972368240356445;1;48157;success
5;2;1;93.85109114646912;244;5.4031946659088135;-2;63853;success
5;3;1;79.09221839904785;188;5.4707629680633545;-2;48529;success
7;1;1;106.37499070167542;204;5.491889238357544;2;50957;success
4;2;1;100.82984232902527;157;5.812756061553955;-1;46753;success
6;3;1;85.70967841148376;106;5.502863883972168;1;50957;success
5;1;1;113.39996671676636;296;5.721385955810547;-1;51329;success
7;2;1;107.62309455871582;227;5.556830406188965;-1;43953;success
a;3;1;92.3833978176117;217;5.4485931396484375;-1;51329;success
4;1;1;120.20655822753906;292;5.506997346878052;-2;51329;success
8;2;1;114.2289547920227;179;5.417548894882202;-2;46753;success
