Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=28;=1,52;=0;=0;=75;6
Gateway_1;29;43,10;=1,85;=145,1*1024;=7,646*1024*1024;=7,09;=836/1000;=0;=16,4;=83;6
Rpc;8;0,03;=0,08;=6,16*1024;=7,646*1024*1024;=40,4;=19,7;=0;=28,7;=83;6
Client_1;17;1,54;=0,16;=12,82*1024;=7,646*1024*1024;=44,3;=17,5;=0;=160;=83;6
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=31,8;=10,3;=0;=0;=83;6
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=28;=1,52;=0;=0;=83;6
Gateway_1;29;42,02;=1,86;=145,4*1024;=7,646*1024*1024;=7,09;=836/1000;=0;=16,4;=91;5
Rpc;8;0,01;=0,08;=6,16*1024;=7,646*1024*1024;=40,4;=19,7;=0;=28,7;=91;5
Client_1;17;1,36;=0,17;=13*1024;=7,646*1024*1024;=46,9;=18,6;=0;=160;=91;5
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=31,8;=10,3;=0;=0;=91;5
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=28;=1,52;=0;=0;=91;5
Gateway_1;29;50,68;=2,25;=176,4*1024;=7,646*1024*1024;=9,47;=18,6;=0;=16,4;=99;5
Rpc;8;0,64;=0,09;=7,406*1024;=7,646*1024*1024;=60,9;=35,3;=242;=28,7;=99;5
Client_1;17;4,06;=0,18;=13,91*1024;=7,646*1024*1024;=62,9;=22,9;=131;=160;=99;5
Clients_Router_1;2;0,01;=0,01;=820;=7,646*1024*1024;=47,7;=25,9;=0;=0;=99;5
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=28;=1,52;=0;=0;=99;5
Gateway_1;29;43,63;=2,26;=176,7*1024;=7,646*1024*1024;=11,5;=20,9;=0;=16,4;=107;6
Rpc;12;0,02;=0,11;=8,316*1024;=7,646*1024*1024;=76,6;=42;=242;=28,7;=107;6
Client_1;17;1,52;=0,17;=13,67*1024;=7,646*1024*1024;=68,7;=37,6;=131;=193;=107;6
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=65,6;=43,7;=0;=0;=107;6
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=52,8;=26,4;=0;=0;=107;6
Gateway_1;29;43,64;=2,27;=177,5*1024;=7,646*1024*1024;=14,7;=24,4;=0;=16,4;=114;5
Rpc;12;0,01;=0,11;=8,516*1024;=7,646*1024*1024;=85,5;=49,9;=242;=28,7;=114;5
Client_1;17;1,53;=0,18;=13,85*1024;=7,646*1024*1024;=75,8;=44,1;=131;=209;=114;5
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=76,7;=53,8;=0;=0;=114;5
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=60,5;=32,6;=0;=0;=114;5
Gateway_1;29;41,39;=2,27;=177,8*1024;=7,646*1024*1024;=17,7;=28;=0;=16,4;=122;5
Rpc;12;0,02;=0,11;=8,688*1024;=7,646*1024*1024;=94,3;=58,2;=242;=28,7;=122;5
Client_1;17;1,49;=0,18;=14,01*1024;=7,646*1024*1024;=83,7;=50,6;=131;=221;=122;5
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=88,3;=64;=0;=0;=122;5
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=67,7;=39;=0;=0;=122;5
Gateway_1;29;43,39;=2,27;=178,1*1024;=7,646*1024*1024;=21,4;=31,6;=0;=16,4;=130;5
Rpc;12;0,02;=0,11;=8,859*1024;=7,646*1024*1024;=103;=66,4;=242;=28,7;=130;5
Client_1;18;1,50;=0,18;=14,34*1024;=7,646*1024*1024;=91,6;=56,9;=205;=299;=130;5
Clients_Router_1;2;0,00;=0,01;=820;=7,646*1024*1024;=99,4;=74,3;=0;=0;=130;5
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=75;=45,4;=0;=0;=130;5
Gateway_1;29;43,35;=2,28;=178,4*1024;=7,646*1024*1024;=26,5;=37,2;=0;=16,4;=138;6
Rpc;12;0,06;=0,12;=9,121*1024;=7,646*1024*1024;=117;=78,9;=242;=28,7;=138;6
Client_1;18;1,60;=0,19;=14,62*1024;=7,646*1024*1024;=102;=66,6;=205;=324;=138;6
Clients_Router_1;2;0,01;=0,01;=820;=7,646*1024*1024;=115;=89,7;=0;=0;=138;6
Gateways_Router_1;2;0,00;=0,01;=828;=7,646*1024*1024;=85,8;=56,1;=0;=0;=138;6
Gateway_1;29;41,98;=2,28;=178,5*1024;=7,646*1024*1024;=29,7;=42,4;=0;=16,4;=145;6
Rpc;12;0,01;=0,12;=9,406*1024;=7,646*1024*1024;=129;=90,5;=242;=28,7;=145;6
